Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  GRACIA;Esplai Sant Jordi 2018;20000
Ajuntament de Barcelona;2013;Expedient organ gestor GERENCIA DE RECURSOS;PROMOCIO D ACTIVITATS I INICIATIVES PER LA PROTECCIO I DEFENSA DELS ANIMALS;150000
Ajuntament de Barcelona;2018;AJUTS;Ajut del programa Promocio i participacio infancia;47850
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;45525
Ajuntament de Barcelona;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Convocatoria Urban Innovate Actions UIA;12382377
Institut de Cultura de Barcelona;2020;SUBVENCIONS CONVOCATORIA;Convocatoria ciencies 2019   2020;2248538
Institut de Cultura de Barcelona;2020;SUBVENCIONS CONVOCATORIA;Convocatoria ciencies 2019   2020;3060975
Institut de Cultura de Barcelona;2020;SUBVENCIONS CONVOCATORIA;Convocatoria ciencies 2019   2020;2765625
Ajuntament de Barcelona;2014;SUBVENCIONS DIRECTES amb o sense CONVENI;MANTENIMENT I SUPORT ACTIV  FORMAC I RECERCA;5000000
Institut de Cultura de Barcelona;2019;Convocatoria a projectes de recerca i innovacio Pla Barcelona Ci;New mobility in the city: NEWMOB;4497076
Institut de Cultura de Barcelona;2019;Convocatoria a projectes de recerca i innovacio Pla Barcelona Ci;BCN Microbiome MAP;6121951
Institut de Cultura de Barcelona;2019;Convocatoria a projectes de recerca i innovacio Pla Barcelona Ci;Exposicion a contaminantes emergentes en el agua de consumo de Barcelona;553125
Institut de Cultura de Barcelona;2019;SUBVENCIONS CONVOCATORIA;Premis Ciutat de Barcelona 2018 La Col;70000
Ajuntament de Barcelona;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Projecte Reforcant la ciutat de Barcelona;2500000
Ajuntament de Barcelona;2017;AJUTS;Ajut del programa Promocio i participacio infancia;3960
Ajuntament de Barcelona;2022;TRANSFERENCIES ENS PUBLICS I ALTRES;Aportacio municipal membre Patronat 2022;0
Ajuntament de Barcelona;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;REFORCANT LA MARCA BARCELONA: POTENCIANT LA CIUTAT;2500000
Ajuntament de Barcelona;2018;SUBVENCIONS DIRECTES amb o sense CONVENI;PROJECTE REFORCANT LA MARCA BARCELONA COM A CAPITA;2500000
